team_0,team_0_ranking,team_0_rating_average,team_0_k_total,team_0_a_total,team_0_d_total,team_0_k_avarage,team_0_a_avarage,team_0_d_avarage,team_0_adr_avarage,team_1,team_1_ranking,team_1_rating_average,team_1_k_total,team_1_a_total,team_1_d_total,team_1_k_avarage,team_1_a_avarage,team_1_d_avarage,team_1_adr_avarage,delta_ranking,delta_rating,delta_kills,delta_assists,delta_deaths,delta_adr,winner
Vitality Vitality,2, 0.86,57,18,72, 11.40, 3.60, 14.40, 66.22,G2 G2,3, 1.20,71,30,57, 14.20, 6.00, 11.40, 77.72,-1,-0.34,-14,-12,15,-57.5,1
Vitality Vitality,2, 0.95,94,40,112, 18.80, 8.00, 22.40, 70.68,G2 G2,3, 1.19,110,30,94, 22.00, 6.00, 18.80, 81.54,-1,-0.24,-16,10,18,-54.3,1
Natus Vincere Natus Vincere,1, 1.04,79,37,83, 15.80, 7.40, 16.60, 77.26,FaZe FaZe,7, 1.15,83,32,79, 16.60, 6.40, 15.80, 78.34,-6,-0.11,-4,5,4,-5.4,1
Natus Vincere Natus Vincere,1, 1.05,77,38,77, 15.40, 7.60, 15.40, 70.84,FaZe FaZe,7, 1.00,77,20,78, 15.40, 4.00, 15.60, 70.42,-6, 0.05,0,18,-1, 2.1,0
Natus Vincere Natus Vincere,1, 1.60,66,33,42, 13.20, 6.60, 8.40, 89.94,FaZe FaZe,7, 0.69,42,11,66, 8.40, 2.20, 13.20, 60.20,-6, 0.91,24,22,-24, 148.7,0
G2 G2,3, 1.14,77,32,63, 15.40, 6.40, 12.60, 72.82,Natus Vincere Natus Vincere,1, 0.91,63,18,77, 12.60, 3.60, 15.40, 66.26,2, 0.23,14,14,-14, 32.8,0
G2 G2,3, 1.11,78,30,71, 15.60, 6.00, 14.20, 72.28,Natus Vincere Natus Vincere,1, 0.91,70,20,78, 14.00, 4.00, 15.60, 66.84,2, 0.20,8,10,-7, 27.2,0
G2 G2,3, 1.03,82,22,88, 16.40, 4.40, 17.60, 73.54,Natus Vincere Natus Vincere,1, 1.17,88,30,82, 17.60, 6.00, 16.40, 77.48,2,-0.14,-6,-8,6,-19.7,1
G2 G2,3, 1.07,63,24,58, 12.60, 4.80, 11.60, 67.76,Natus Vincere Natus Vincere,1, 0.91,58,22,63, 11.60, 4.40, 12.60, 61.82,2, 0.16,5,2,-5, 29.7,0
FaZe FaZe,6, 0.83,57,26,78, 11.40, 5.20, 15.60, 64.40,FURIA FURIA,14, 1.29,78,23,57, 15.60, 4.60, 11.40, 80.62,-8,-0.46,-21,3,21,-81.1,1
MOUZ MOUZ,5, 1.05,79,25,80, 15.80, 5.00, 16.00, 73.60,paiN paiN,12, 1.03,80,28,79, 16.00, 5.60, 15.80, 72.82,-7, 0.02,-1,-3,1, 3.9,0
Natus Vincere Natus Vincere,1, 1.63,68,19,31, 13.60, 3.80, 6.20, 92.94,Imperial Imperial,22, 0.46,31,6,68, 6.20, 1.20, 13.60, 53.48,-21, 1.17,37,13,-37, 197.3,0
Liquid Liquid,8, 1.28,71,19,53, 14.20, 3.80, 10.60, 81.54,Complexity Complexity,10, 0.79,51,21,72, 10.20, 4.20, 14.40, 64.68,-2, 0.49,20,-2,-19, 84.3,0
Vitality Vitality,3, 1.39,61,27,44, 12.20, 5.40, 8.80, 84.44,9z 9z,24, 0.68,43,12,61, 8.60, 2.40, 12.20, 62.24,-21, 0.71,18,15,-17, 111.0,0
G2 G2,2, 0.88,73,25,92, 14.60, 5.00, 18.40, 70.80,HEROIC HEROIC,16, 1.27,92,24,73, 18.40, 4.80, 14.60, 86.94,-14,-0.39,-19,1,19,-80.7,1
Virtus.pro Virtus.pro,9, 0.94,70,25,75, 14.00, 5.00, 15.00, 68.54,The MongolZ The MongolZ,13, 1.10,75,28,71, 15.00, 5.60, 14.20, 73.44,-4,-0.16,-5,-3,4,-24.5,1
Eternal Fire Eternal Fire,7, 0.97,70,20,80, 14.00, 4.00, 16.00, 67.70,Astralis Astralis,17, 1.08,80,34,72, 16.00, 6.80, 14.40, 72.12,-10,-0.11,-10,-14,8,-22.1,1
FURIA FURIA,14, 1.25,75,25,61, 15.00, 5.00, 12.20, 78.26,MOUZ MOUZ,5, 0.78,58,10,78, 11.60, 2.00, 15.60, 67.36,9, 0.47,17,15,-17, 54.5,0
FURIA FURIA,14, 0.70,41,15,65, 8.20, 3.00, 13.00, 57.52,MOUZ MOUZ,5, 1.29,65,21,42, 13.00, 4.20, 8.40, 76.04,9,-0.59,-24,-6,23,-92.6,1
FURIA FURIA,14, 1.44,73,42,51, 14.60, 8.40, 10.20, 82.82,MOUZ MOUZ,5, 0.74,51,19,73, 10.20, 3.80, 14.60, 65.94,9, 0.70,22,23,-22, 84.4,0
FaZe FaZe,6, 1.16,77,32,68, 15.40, 6.40, 13.60, 78.44,paiN paiN,12, 0.94,68,22,77, 13.60, 4.40, 15.40, 67.62,-6, 0.22,9,10,-9, 54.1,0
FaZe FaZe,6, 1.00,91,31,97, 18.20, 6.20, 19.40, 71.88,paiN paiN,12, 1.02,96,29,91, 19.20, 5.80, 18.20, 73.44,-6,-0.02,-5,2,6,-7.8,1
FaZe FaZe,6, 1.28,81,28,63, 16.20, 5.60, 12.60, 83.54,paiN paiN,12, 0.80,63,14,83, 12.60, 2.80, 16.60, 66.72,-6, 0.48,18,14,-20, 84.1,0
Imperial Imperial,22, 0.92,87,22,94, 17.40, 4.40, 18.80, 70.18,Complexity Complexity,10, 1.10,93,28,87, 18.60, 5.60, 17.40, 73.58,12,-0.18,-6,-6,7,-17.0,1
Imperial Imperial,22, 1.13,87,28,81, 17.40, 5.60, 16.20, 78.40,Complexity Complexity,10, 1.00,81,29,87, 16.20, 5.80, 17.40, 76.08,12, 0.13,6,-1,-6, 11.6,0
Imperial Imperial,22, 0.68,44,10,75, 8.80, 2.00, 15.00, 57.62,Complexity Complexity,10, 1.49,75,29,44, 15.00, 5.80, 8.80, 87.40,12,-0.81,-31,-19,31,-148.9,1
Natus Vincere Natus Vincere,1, 0.77,50,19,66, 10.00, 3.80, 13.20, 69.50,Liquid Liquid,8, 1.29,65,20,50, 13.00, 4.00, 10.00, 81.16,-7,-0.52,-15,-1,16,-58.3,1
Natus Vincere Natus Vincere,1, 1.42,72,32,45, 14.40, 6.40, 9.00, 83.00,Liquid Liquid,8, 0.67,45,15,72, 9.00, 3.00, 14.40, 61.00,-7, 0.75,27,17,-27, 110.0,0
Natus Vincere Natus Vincere,1, 1.10,79,23,70, 15.80, 4.60, 14.00, 74.36,Liquid Liquid,8, 0.91,68,29,79, 13.60, 5.80, 15.80, 66.10,-7, 0.19,11,-6,-9, 41.3,0
Vitality Vitality,3, 1.16,134,38,117, 26.80, 7.60, 23.40, 79.10,The MongolZ The MongolZ,13, 0.98,115,53,135, 23.00, 10.60, 27.00, 70.68,-10, 0.18,19,-15,-18, 42.1,0
